Year,state,state_po,state_FIPS,state_census_code,state_ICPSR,electoral stage,special election,candidate,candidate_party,party_simplified,write-in candidates,candidate votes,total votes,unofficial_result
1976,ARIZONA,AZ,4,86,61,gen,FALSE,SAM STEIGER,REPUBLICAN,REPUBLICAN,FALSE,321236,741210,FALSE
1976,ARIZONA,AZ,4,86,61,gen,FALSE,WM. MATHEWS FEIGHAN,INDEPENDENT,OTHER,FALSE,1565,741210,FALSE
1976,ARIZONA,AZ,4,86,61,gen,FALSE,DENNIS DECONCINI,DEMOCRAT,DEMOCRAT,FALSE,400334,741210,FALSE
1976,ARIZONA,AZ,4,86,61,gen,FALSE,ALLAN NORWITZ,LIBERTARIAN,LIBERTARIAN,FALSE,7310,741210,FALSE
1976,ARIZONA,AZ,4,86,61,gen,FALSE,BOB FIELD,INDEPENDENT,OTHER,FALSE,10765,741210,FALSE
1976,CALIFORNIA,CA,6,93,71,gen,FALSE,JACK MCCOY,AMERICAN INDEPENDENT,OTHER,FALSE,82739,7470586,FALSE
1976,CALIFORNIA,CA,6,93,71,gen,FALSE,S. I. (SAM) HAYAKAWA,REPUBLICAN,REPUBLICAN,FALSE,3748973,7470586,FALSE
1976,CALIFORNIA,CA,6,93,71,gen,FALSE,JOHN V. TUNNEY,DEMOCRAT,DEMOCRAT,FALSE,3502862,7470586,FALSE
1976,CALIFORNIA,CA,6,93,71,gen,FALSE,OMARI MUSA,INDEPENDENT,OTHER,FALSE,31629,7470586,FALSE
1976,CALIFORNIA,CA,6,93,71,gen,FALSE,DAVID WALD,PEACE AND FREEDOM,OTHER,FALSE,104383,7470586,FALSE
1976,CONNECTICUT,CT,9,16,1,gen,FALSE,"LOWELL P. WEICKER, JR.",REPUBLICAN,REPUBLICAN,FALSE,785683,1361666,FALSE
1976,CONNECTICUT,CT,9,16,1,gen,FALSE,SCATTER,,OTHER,FALSE,558,1361666,FALSE
1976,CONNECTICUT,CT,9,16,1,gen,FALSE,ROBERT BARNABEI,AMERICAN INDEPENDENT,OTHER,FALSE,14407,1361666,FALSE
1976,CONNECTICUT,CT,9,16,1,gen,FALSE,GLORIA SCHAFFER,DEMOCRAT,DEMOCRAT,FALSE,561018,1361666,FALSE
1976,DELAWARE,DE,10,51,11,gen,FALSE,THOMAS C. MALONEY,DEMOCRAT,DEMOCRAT,FALSE,98042,224795,FALSE
1976,DELAWARE,DE,10,51,11,gen,FALSE,"WILLIAM V. ROTH, JR.",REPUBLICAN,REPUBLICAN,FALSE,125454,224795,FALSE
